beacon;city;faaId;iata;rwy_num;mag_dec;wmoId;site;runways;name;lat;lid;country;icao;priority;passengers;rwy_len;lon;type;source;state;tz;use;subd;prior;ind;city_icao;country_code;traffic;information;elevation_aerodrome;TOWER_COMMUNICATION;AERODROME_SERVICES;AERODROME_CTR;freqs.RADIO;freqs.ATIS;freqs.DELIVERY/GROUND;freqs.TOWER;freqs.APPROACH;freqs.SAR;freqs.TELEPHONE;freqs.FIC_NAME;freqs.FIC_FREQUENCY;freqs.FIC_NAME_2;freqs.FIC_FREQUENCY_2;url.aviationweather.airport;url.wikipedia;url.website;url.geo;url.wikipedia.aerodrome.image;url.custom_url;metar_station;url.pilot_info;keywords;facility_type;freqs.FIS_NAME;freqs.FIS_FREQUENCY
;Mont-de-l'Enclus;;;;;;;[{'id': '11/29', 'dimension': '2000x60', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['11', '29'], 'length': 2001, 'width': 60, 'TORA': None, 'TODA': None, 'ASDA': '2001', 'LDA': None, '11': {'latlon': [50.7401008606, 3.4848999977], 'elevation': 49.0, 'heading': '11', 'displaced threshold': None}, '29': {'latlon': [50.7401008606, 3.4848999977], 'elevation': 49.0, 'heading': '29', 'displaced threshold': None}, 'slope': 0, 'properties': None, 'dimension2': ['2000 x 60 feet', '610 x 18 meters']}];Amougies Airport;50.7401008606;;Belgium;EBAM;;;;3.4848999977;;;;Europe/Brussels;private;Wallonia;;;Mont-de-l'Enclus (EBAM);BE;;;49.0;False;False;False;;;;;;;;;;;;;https://en.wikipedia.org/wiki/Amougies_Airfield;http://www.airport-amougies.be;https://geohack.toolforge.org/geohack.php?pagename=Amougies_Airfield&params=50_44_22_N_003_29_10_E_region:BE-WHT_type:airport;;;False;;;;;
;Arlon;;;;;;;[{'id': '09/27', 'dimension': '492x98', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['09', '27'], 'length': 492, 'width': 98, 'TORA': None, 'TODA': None, 'ASDA': '492', 'LDA': None, '09': {'latlon': [49.6627998352, 5.8869400024], 'elevation': 1138.0, 'heading': '09', 'displaced threshold': None}, '27': {'latlon': [49.6627998352, 5.8869400024], 'elevation': 1138.0, 'heading': '27', 'displaced threshold': None}, 'slope': 0, 'properties': None, 'dimension2': ['492 x 98 feet', '150 x 30 meters']}];Sterpenich Airport;49.6627998352;;Belgium;EBAR;;;;5.8869400024;;;;Europe/Brussels;private;Wallonia;;;Arlon (EBAR);BE;;;2.0;False;False;False;;;;;;;;;;;;;https://en.wikipedia.org/wiki/Arlon-Sterpenich_Aerodrome;http://www.arelair.be;https://geohack.toolforge.org/geohack.php?pagename=Arlon-Sterpenich_Aerodrome&params=49_39_46_N_005_53_13_E_region:BE-WLX_type:airport;;;False;;;;[];[]
;Hannut;;;;;;;[{'id': '05/23', 'dimension': '', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': None}, 'alignment': None, 'number': ['05', '23'], 'length': 827, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '827', 'LDA': None, '05': {'latlon': [50.7066993713, 5.0680599213], 'elevation': 394.0, 'heading': '05', 'displaced threshold': None}, '23': {'latlon': [50.7066993713, 5.0680599213], 'elevation': 394.0, 'heading': '23', 'displaced threshold': None}, 'slope': 0, 'properties': None}];Avernas-Le-Bauduin Airport;50.7066993713;;Belgium;EBAV;;;;5.0680599213;;;;Europe/Brussels;private;Wallonia;;;Hannut (EBAV);BE;;;394.0;False;False;False;;;;;;;;;;;;;https://en.wikipedia.org/wiki/Avernas-le-Bauduin_Airfield;[];https://geohack.toolforge.org/geohack.php?pagename=Avernas-le-Bauduin_Airfield&params=50_42_24_N_005_04_05_E_region:BE-WLG_type:airport;https://upload.wikimedia.org/wikipedia/commons/f/fc/21AEL_%2840616536211%29.jpg;;False;;;;[];[]
;Antwerp;;ANR;1.0;;6450.0;Antwerp Intl;[{'id': '11/29', 'dimension': '4954x148', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': 'Threshold of Runway 11 displaced 472 ft (144 m)', 'lighted': True}, 'alignment': None, 'number': ['11', '29'], 'length': 4954, 'width': '148', 'TORA': None, 'TODA': None, 'ASDA': '4954', 'LDA': None, '11': {'latlon': [51.1975, 4.458055555555556], 'elevation': '28', 'heading': '109', 'displaced threshold': '472 Feet'}, '29': {'latlon': [51.190555555555555, 4.4775], 'elevation': '31', 'heading': '289', 'displaced threshold': ''}, 'dimension2': ['4954 x 148 feet', '1510 x 45 meters'], 'slope': 0, 'properties': None}];Antwerp International;51.1901;;Belgium;EBAW;4.0;0.0;M;4.4627;ARP;Intl;VA;Europe/Brussels;public;Flanders;0.0;640.0;Antwerp (EBAW);BE;;;39.0;True;True;True;;['124.205'];['121.905'];['135.205'];['118.255'];;;;;;;https://aviationweather.gov/api/data/airport?ids=EBAW&format=json;https://en.wikipedia.org/wiki/Antwerp_International_Airport;http://antwerp-airport.be;https://geohack.toolforge.org/geohack.php?pagename=Antwerp_International_Airport&params=51_11_22_N_004_27_37_E_region:BE-VAN_type:airport;https://upload.wikimedia.org/wikipedia/commons/b/b6/Luchthavengebouw_Antwerpen-Deurne.jpg;;True;;;;[];[]
;Beauvechain;;;;;6458.0;Beauvechain(AB);[{'id': '04L/22R', 'dimension': '10085x148', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': 'Threshold of Runway 04L displaced 2,095 ft (639 m)', 'lighted': True}, 'alignment': None, 'number': ['04L', '22R'], 'length': 10085, 'width': 148, 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [None, None], 'elevation': None, 'heading': '', 'displaced threshold': None}, 'dimension2': ['10085 x 148 feet', '3074 x 45 meters'], 'slope': None, 'properties': None}, {'id': '04R/22L', 'dimension': '8038x74', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': 'Threshold of Runway 04L displaced 2,095 ft (639 m)', 'lighted': True}, 'alignment': None, 'number': ['04R', '22L'], 'length': 8038, 'width': 74, 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [None, None], 'elevation': None, 'heading': '', 'displaced threshold': None}, 'dimension2': ['8038 x 74 feet', '2450 x 23 meters'], 'slope': None, 'properties': None}];Beauvechain Air Base;50.7585983276;;Belgium;EBBE;6.0;;;4.7683300972;;;WA;Europe/Brussels;military;Wallonia;;;Beauvechain (EBBE);BE;;;370.0;False;False;False;;;['122.100'];['122.100'];['122.500'];;;;;;;;https://en.wikipedia.org/wiki/Beauvechain_Air_Base;;;;;True;;;;[];[]
;Bastogne;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [50.0527992249, 5.7986102104], 'elevation': 1770.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Michamps Airport;50.0527992249;;Belgium;EBBG;;;;5.7986102104;;;;Europe/Brussels;;Wallonia;;;Bastogne (EBBG);BE;;;1770.0;False;False;False;;;;;;;;;;;;;;;;;;False;;;;;
;Kleine Brogel;;;;;6479.0;Kleine-Brogel(AB);[{'id': '05L/23R', 'dimension': '10158x148', 'surface': {'type': None, 'surface': None, 'condition': 'Threshold of Runway 05L displaced 1,085 ft (331 m)', 'lighted': False}, 'alignment': None, 'number': ['05L', '23R'], 'length': 10158, 'width': 148, 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [None, None], 'elevation': None, 'heading': '', 'displaced threshold': None}, 'dimension2': ['10158 x 148 feet', '3096 x 45 meters'], 'slope': None, 'properties': None}, {'id': '05R/23L', 'dimension': '7874x75', 'surface': {'type': None, 'surface': None, 'condition': 'Threshold of Runway 05L displaced 1,085 ft (331 m)', 'lighted': False}, 'alignment': None, 'number': ['05R', '23L'], 'length': 7874, 'width': 75, 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [None, None], 'elevation': None, 'heading': '', 'displaced threshold': None}, 'dimension2': ['7874 x 75 feet', '2400 x 23 meters'], 'slope': None, 'properties': None}];Kleine Brogel Air Base;51.1683006287;;Belgium;EBBL;6.0;;;5.4699997902;;;VL;Europe/Brussels;military;Flanders;;;Kleine Brogel (EBBL);BE;;;200.0;False;False;False;;;['122.100'];['134.105'];['134.480'];;;;;;;;https://en.wikipedia.org/wiki/Kleine_Brogel_Air_Base;;;;;True;;;;[];[]
;Bullingen;;;;;;;[{'id': '12/30', 'dimension': '', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': None}, 'alignment': None, 'number': ['12', '30'], 'length': 955, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '955', 'LDA': None, '12': {'latlon': [50.4150009155, 6.2763900757], 'elevation': 2067.0, 'heading': '12', 'displaced threshold': None}, '30': {'latlon': [50.4150009155, 6.2763900757], 'elevation': 2067.0, 'heading': '30', 'displaced threshold': None}, 'slope': 0, 'properties': None}];Bullingen Airport;50.4150009155;;Belgium;EBBN;;;;6.2763900757;;;;Europe/Brussels;private;Wallonia;;;Bullingen (EBBN);BE;;;3.0;False;False;False;;;;;;;;;;;;;https://en.wikipedia.org/wiki/Büllingen_Airfield;[];https://geohack.toolforge.org/geohack.php?pagename=B%C3%BCllingen_Airfield&params=50_24_54_N_006_16_35_E_region:BE-WLG_type:airport;;;False;;;;;
;Bouillon;;;;;;;[{'id': '09/27', 'dimension': '', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': None}, 'alignment': None, 'number': ['09', '27'], 'length': 760, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '760', 'LDA': None, '09': {'latlon': [49.8664016724, 5.0680599213], 'elevation': 1394.0, 'heading': '09', 'displaced threshold': None}, '27': {'latlon': [49.8664016724, 5.0680599213], 'elevation': 1394.0, 'heading': '27', 'displaced threshold': None}, 'slope': 0, 'properties': None}];Mogimont Airport;49.8664016724;;Belgium;EBBO;;;;5.0680599213;;;;Europe/Brussels;;Wallonia;;;Bouillon (EBBO);BE;;;2.0;False;False;False;;;;;;;;;;;;;https://en.wikipedia.org/wiki/Mogimont_Airport;[];https://geohack.toolforge.org/geohack.php?pagename=Mogimont_Airport&params=49_52_00_N_005_04_06_E_region:BE-WLX_type:airport;;;False;;;;;
B;Brussels;;BRU;3.0;1E;6451.0;Brussels Intl;[{'id': '07L/25R', 'dimension': '11936x148', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': 'Threshold of Runway 07L displaced 846 ft (258 m)', 'lighted': True}, 'alignment': None, 'number': ['07L', '25R'], 'length': 11936, 'width': '148', 'TORA': None, 'TODA': None, 'ASDA': '11936', 'LDA': None, '07L': {'latlon': [50.900277777777774, 4.466666666666667], 'elevation': '121', 'heading': '064', 'displaced threshold': '945 Feet'}, '25R': {'latlon': [50.91916666666666, 4.51], 'elevation': '102', 'heading': '244', 'displaced threshold': '981 Feet'}, 'dimension2': ['11936 x 148 feet', '3638 x 45 meters'], 'slope': 0, 'properties': None}, {'id': '07R/25L', 'dimension': '10535x148', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': 'Threshold of Runway 07R displaced 400 ft (122 m)', 'lighted': True}, 'alignment': None, 'number': ['07R', '25L'], 'length': 10535, 'width': '148', 'TORA': None, 'TODA': None, 'ASDA': '10535', 'LDA': None, '07R': {'latlon': [50.89333333333333, 4.492222222222223], 'elevation': '166', 'heading': '069', 'displaced threshold': '400 Feet'}, '25L': {'latlon': [50.909444444444446, 4.527777777777778], 'elevation': '150', 'heading': '249', 'displaced threshold': ''}, 'dimension2': ['10535 x 148 feet', '3211 x 45 meters'], 'slope': 0, 'properties': None}, {'id': '02/20', 'dimension': '9800x164', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': None}, 'alignment': None, 'number': ['02', '20'], 'length': 9800, 'width': '164', 'TORA': None, 'TODA': None, 'ASDA': '9800', 'LDA': None, '02': {'latlon': [50.9006, 4.4874], 'elevation': 184.0, 'heading': '02', 'displaced threshold': None}, '20': {'latlon': [50.9006, 4.4874], 'elevation': 184.0, 'heading': '20', 'displaced threshold': None}, 'slope': 0, 'properties': None}, {'id': '01/19', 'dimension': '9800x164', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': 'Threshold of Runway 01 displaced 151 ft (46 m)', 'lighted': True}, 'alignment': None, 'number': ['01', '19'], 'length': 9800, 'width': 164, 'TORA': None, 'TODA': None, 'ASDA': '9800', 'LDA': None, '01': {'latlon': [50.89, 4.496944444444445], 'elevation': '175', 'heading': '013', 'displaced threshold': '151 Feet'}, '19': {'latlon': [50.91833333333333, 4.501944444444445], 'elevation': '105', 'heading': '193', 'displaced threshold': '722 Feet'}, 'dimension2': ['9800 x 164 feet', '2987 x 50 meters'], 'slope': -0.71, 'properties': None}];Brussels Airport;50.9006;;Belgium;EBBR;2.0;18.0;L;4.4874;ARP;Intl;VL;Europe/Brussels;public;Flanders;0.0;63.0;Brussels (EBBR);BE;;;184.0;True;True;True;;['121.755'];['118.055'];['118.605'];['118.255'];;;;;;;https://aviationweather.gov/api/data/airport?ids=EBBR&format=json;https://en.wikipedia.org/wiki/Brussels_Airport;http://www.brusselsairport.be/en/;https://geohack.toolforge.org/geohack.php?pagename=Brussels_Airport&params=50_54_05_N_004_29_04_E_region:BE-VBR_type:airport;https://upload.wikimedia.org/wikipedia/commons/0/09/Brussels_airport_from_air.jpg;;True;;;;[];[]
;Brasschaat;;;;;;Brasschaat (MIL);[{'id': '16/34', 'dimension': '2621x98', 'surface': {'type': 'hard', 'surface': 'concrete', 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['16', '34'], 'length': 2621, 'width': 98, 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [None, None], 'elevation': None, 'heading': '', 'displaced threshold': None}, 'dimension2': ['2621 x 98 feet', '799 x 30 meters'], 'slope': None, 'properties': None}];Brasschaat Air Base;51.340801239;;Belgium;EBBT;9.0;;;4.5043997765;;;VA;Europe/Brussels;private;Flanders;;;Brasschaat (EBBT);BE;;;76.0;False;False;False;;;;;;;;;;;;;https://en.wikipedia.org/wiki/Brasschaat_Airfield;http://www.aeroclub-brasschaat.be/;;;;False;;;;['122.905'];['Brasschaat Radio']
;Bassenge;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [50.778301239, 5.6166701317], 'elevation': 367.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Wonck Airport;50.778301239;;Belgium;EBBW;;;;5.6166701317;;;;Europe/Brussels;;Flanders;;;Bassenge (EBBW);BE;;;367.0;False;False;False;;;;;;;;;;;;;;;;;;False;;;;;
;Bertrix;;;;;;Bertrix Bel-AFB;[{'id': '06/24', 'dimension': '7874x148', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['06', '24'], 'length': 9268, 'width': 148, 'TORA': None, 'TODA': None, 'ASDA': '9268', 'LDA': None, '06': {'latlon': [49.8917007446, 5.2238898277], 'elevation': 1514.0, 'heading': '06', 'displaced threshold': None}, '24': {'latlon': [49.8917007446, 5.2238898277], 'elevation': 1514.0, 'heading': '24', 'displaced threshold': None}, 'slope': 0, 'properties': 'Concrete', 'dimension2': ['7874 x 148 feet', '2400 x 45 meters']}];Jehonville Air Base;49.8917007446;;Belgium;EBBX;9.0;;;5.2238898277;;;WA;Europe/Brussels;military;Wallonia;;;Bertrix (EBBX);BE;;;1514.0;False;False;False;;;;;;;;;;;;;https://en.wikipedia.org/wiki/Jehonville_Air_Base;[];https://geohack.toolforge.org/geohack.php?pagename=Jehonville_Air_Base&params=49_53_30_N_005_13_26_E_region:BE-WLX_type:airport;;;False;;;;;
;Genappe;;;;;;;[{'id': '05/23', 'dimension': '827x99', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['05', '23'], 'length': 827, 'width': 99, 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [None, None], 'elevation': None, 'heading': '', 'displaced threshold': None}, 'dimension2': ['827 x 99 feet', '252 x 30 meters'], 'slope': None, 'properties': None}, {'id': '14/32', 'dimension': '981x99', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['14', '32'], 'length': 981, 'width': 99, 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [None, None], 'elevation': None, 'heading': '', 'displaced threshold': None}, 'dimension2': ['981 x 99 feet', '299 x 30 meters'], 'slope': None, 'properties': None}];Baisy-Thy Airport;50.568611145;;Belgium;EBBY;;;;4.4347219467;;;;Europe/Brussels;private;Wallonia;;;Genappe (EBBY);BE;;;525.0;False;False;False;;;;;;;;;;;;;;http://www.ulm.be/;;;;False;;;;[];[]
;Pont-A-Celles;;;;;;;[{'id': '15/33', 'dimension': '1469x131', 'surface': {'type': None, 'surface': None, 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['15', '33'], 'length': 1469, 'width': 131, 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [None, None], 'elevation': None, 'heading': '', 'displaced threshold': None}, 'dimension2': ['1469 x 131 feet', '448 x 40 meters'], 'slope': None, 'properties': None}];Buzet Airstrip;50.5416984558;;Belgium;EBBZ;;;;4.3811101913;;;;Europe/Brussels;private;Wallonia;;;Pont-A-Celles (EBBZ);BE;;;522.0;False;False;False;;;;;;;;;;;;;https://fr.wikipedia.org/wiki/A%C3%A9rodrome_de_Pont-%C3%A0-Celles_Buzet;http://www.confluence.be;;;;False;;;;['118.765'];['']
;Cerfontaine;;;;;;;[{'id': '12L/30R', 'dimension': '2625x98', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['12L', '30R'], 'length': 2625, 'width': 98, 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [None, None], 'elevation': None, 'heading': '', 'displaced threshold': None}, 'dimension2': ['2625 x 98 feet', '800 x 30 meters'], 'slope': None, 'properties': None}, {'id': '12R/30L', 'dimension': '2215x98', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['12R', '30L'], 'length': 2215, 'width': 98, 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [None, None], 'elevation': None, 'heading': '', 'displaced threshold': None}, 'dimension2': ['2215 x 98 feet', '675 x 30 meters'], 'slope': None, 'properties': None}];Cerfontaine Nouv Airport;50.1528015137;;Belgium;EBCF;;;;4.3872199059;;;;Europe/Brussels;private;Wallonia;;;Cerfontaine (EBCF);BE;;;961.0;False;False;False;['123.200'];;;;;;;;;;;;https://en.wikipedia.org/wiki/Cerfontaine_Airfield;https://www.cerfontaine-aerodrome.com/;;;;False;;;;[];[]
B;Brussels;;CRL;1.0;;6449.0;Charleroi Arpt;[{'id': '06/24', 'dimension': '9531x148', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': 'Threshold of Runway 06 displaced 1,477 ft (450 m)', 'lighted': True}, 'alignment': None, 'number': ['06', '24'], 'length': 9531, 'width': '148', 'TORA': None, 'TODA': None, 'ASDA': '9531', 'LDA': None, '06': {'latlon': [50.46138888888889, 4.448611111111111], 'elevation': '604', 'heading': '064', 'displaced threshold': '1001 Feet'}, '24': {'latlon': [50.474444444444444, 4.471388888888889], 'elevation': '576', 'heading': '244', 'displaced threshold': '1640 Feet'}, 'dimension2': ['9531 x 148 feet', '2905 x 45 meters'], 'slope': 0, 'properties': None}];Brussels-Charleroi Airport;50.46;;Belgium;EBCI;5.0;8.0;L;4.4528;ARP;Intl;WH;Europe/Brussels;public;Wallonia;0.0;153.0;Brussels (EBCI);BE;;;614.0;True;True;True;;['134.625'];['121.800'];['121.300'];['133.125'];;;;;;;https://aviationweather.gov/api/data/airport?ids=EBCI&format=json;https://en.wikipedia.org/wiki/Brussels_South_Charleroi_Airport;https://www.brussels-charleroi-airport.com;https://geohack.toolforge.org/geohack.php?pagename=Brussels_South_Charleroi_Airport&params=50_27_36_N_004_27_10_E_region:BE-WHT_type:airport;https://upload.wikimedia.org/wikipedia/commons/f/f2/CRL_AIRPORT_FROM_FLIGHT_DUS-CDG_A320_AIR_FRANCE_F-GFKY_%2814544559166%29.jpg;;True;;;;[];[]
;Ciney;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [50.2472229004, 5.1138892174], 'elevation': 1076.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Ronvaux Airport;50.2472229004;;Belgium;EBCR;;;;5.1138892174;;;;Europe/Brussels;;Wallonia;;;Ciney (EBCR);BE;;;1076.0;False;False;False;;;;;;;;;;;;;;;;;;False;;;;;
;Chimay;;;;;;;[{'id': '', 'dimension': '', 'surface': {'type': None, 'surface': None, 'condition': None}, 'alignment': None, 'number': [''], 'length': None, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [50.0583000183, 4.2819399834], 'elevation': 820.0, 'heading': '', 'displaced threshold': None}, 'dimension2': None, 'slope': None, 'properties': None}];Saint-Remy Airport;50.0583000183;;Belgium;EBCS;;;;4.2819399834;;;;Europe/Brussels;;Wallonia;;;Chimay (EBCS);BE;;;820.0;False;False;False;;;;;;;;;;;;;;;;;;False;;;;;
;Chievres;;;1.0;;6432.0;Chièvres Arpt(AB);[{'id': '08/26', 'dimension': '8196x148', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': '', 'lighted': True}, 'alignment': '080', 'number': ['08', '26'], 'length': 8196, 'width': '148', 'TORA': None, 'TODA': None, 'ASDA': '8196', 'LDA': None, '08': {'latlon': [50.58027777777778, 3.824444444444444], 'elevation': '177', 'heading': '080', 'displaced threshold': None}, '26': {'latlon': [50.58666666666667, 3.8602777777777777], 'elevation': '193', 'heading': '260', 'displaced threshold': None}, 'dimension2': ['8196 x 148 feet', '2498 x 45 meters'], 'slope': 0, 'properties': None}];Chievres Airport(Ab);50.5772;;Belgium;EBCV;4.0;0.0;L;3.8384;ARP;Intl;WH;Europe/Brussels;military;Wallonia;0.0;641.0;Chievres (EBCV);BE;;military/ public;194.0;True;True;True;;['37.162'];['141.750'];['136.500'];;;;;;;;https://aviationweather.gov/api/data/airport?ids=EBCV&format=json;https://en.wikipedia.org/wiki/Chievres_Air_Base;;;;;True;;;;[];[]
;Diest;;;;;6465.0;Schaffen(AB);[{'id': '06/24', 'dimension': '2461x148', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['06', '24'], 'length': 2461, 'width': 148, 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [None, None], 'elevation': None, 'heading': '', 'displaced threshold': None}, 'dimension2': ['2461 x 148 feet', '750 x 45 meters'], 'slope': None, 'properties': None}];Schaffen Airport;50.9991989136;;Belgium;EBDT;5.0;;;5.065559864;;;VL;Europe/Brussels;military;Flanders;;;Diest (EBDT);BE;;;100.0;False;False;False;['118.930'];;;;;;;;;;;;https://en.wikipedia.org/wiki/Schaffen_Air_Base;;;;;True;;;;[];[]
;Koksijde;;;;;6400.0;Koksijde(AB);[{'id': '11/29', 'dimension': '8786x164', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': 'Threshold of Runway 11 displaced 1,526 ft (465 m)', 'lighted': True}, 'alignment': None, 'number': ['11', '29'], 'length': 8786, 'width': 164, 'TORA': None, 'TODA': None, 'ASDA': '8786', 'LDA': None, '11': {'latlon': [51.10055555555556, 2.6377777777777776], 'elevation': '6', 'heading': '107', 'displaced threshold': '325 Feet'}, '29': {'latlon': [51.08888888888889, 2.6716666666666664], 'elevation': '11', 'heading': '287', 'displaced threshold': '315 Feet'}, 'dimension2': ['8760 x 115 feet', '2670 x 35 meters'], 'slope': 0, 'properties': 'Asphalt/Concrete'}, {'id': '02/20', 'dimension': '2621x98', 'surface': {'type': None, 'surface': None, 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['02', '20'], 'length': 2621, 'width': 98, 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [None, None], 'elevation': None, 'heading': '', 'displaced threshold': None}, 'dimension2': ['2621 x 98 feet', '799 x 30 meters'], 'slope': None, 'properties': None}];Koksijde Air Base;51.0903015137;;Belgium;EBFN;6.0;;;2.652780056;;;VW;Europe/Brussels;military;Flanders;;;Koksijde (EBFN);BE;;;20.0;False;False;False;['129.325'];;['122.100'];['122.100'];['122.500'];;;;;;;;https://en.wikipedia.org/wiki/Koksijde_Air_Base;http://www.mil.be/aircomp/units/index.asp?LAN=en&ID=628;https://geohack.toolforge.org/geohack.php?pagename=Koksijde_Air_Base&params=51_05_25_N_002_39_10_E_region:BE-VWV_type:airport;;;True;;;;[];[]
;Florennes;;;2.0;;6456.0;Florennes(AB);[{'id': '08L/26R', 'dimension': '11106x148', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': 'Threshold of Runway 08L displaced 980 ft (299 m)', 'lighted': True}, 'alignment': None, 'number': ['08L', '26R'], 'length': 11106, 'width': '148', 'TORA': None, 'TODA': None, 'ASDA': '11106', 'LDA': None, '08L': {'latlon': [50.24666666666667, 4.638055555555556], 'elevation': '900', 'heading': '078', 'displaced threshold': '974 Feet'}, '26R': {'latlon': [50.25416666666667, 4.6688888888888895], 'elevation': '924', 'heading': '258', 'displaced threshold': '971 Feet'}, 'dimension2': ['11106 x 148 feet', '3385 x 45 meters'], 'slope': 0, 'properties': None}, {'id': '08R/26L', 'dimension': '7382x75', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': 'Threshold of Runway 08R displaced 490 ft (149 m)', 'lighted': True}, 'alignment': None, 'number': ['08R', '26L'], 'length': 7382, 'width': '75', 'TORA': None, 'TODA': None, 'ASDA': '7382', 'LDA': None, '08R': {'latlon': [50.23861111111111, 4.634444444444444], 'elevation': '901', 'heading': '078', 'displaced threshold': '492 Feet'}, '26L': {'latlon': [50.24388888888889, 4.668055555555556], 'elevation': '903', 'heading': '258', 'displaced threshold': '492 Feet'}, 'dimension2': ['7382 x 75 feet', '2250 x 23 meters'], 'slope': 0, 'properties': None}];Florennes(Ab);50.2413;;Belgium;EBFS;3.0;0.0;L;4.6459;ARP;Intl;WN;Europe/Brussels;military;Wallonia;0.0;642.0;Florennes (EBFS);BE;;;935.0;True;True;True;;;['122.100'];['122.100'];['122.500'];;;;;;;https://aviationweather.gov/api/data/airport?ids=EBFS&format=json;https://en.wikipedia.org/wiki/Florennes_Air_Base;;;;;True;;;;[];[]
