beacon;city;faaId;iata;rwy_num;mag_dec;wmoId;site;runways;name;lat;lid;country;icao;priority;passengers;rwy_len;lon;type;source;state;tz;use;subd;prior;ind;city_icao;country_code;traffic;information;elevation_aerodrome;TOWER_COMMUNICATION;AERODROME_SERVICES;AERODROME_CTR;freqs.RADIO;freqs.ATIS;freqs.DELIVERY/GROUND;freqs.TOWER;freqs.APPROACH;freqs.SAR;freqs.TELEPHONE;freqs.FIC_NAME;freqs.FIC_FREQUENCY;freqs.FIC_NAME_2;freqs.FIC_FREQUENCY_2;url.aviationweather.airport;url.wikipedia;url.website;url.geo;url.wikipedia.aerodrome.image;url.custom_url;metar_station;url.pilot_info;keywords;facility_type;freqs.FIS_NAME;freqs.FIS_FREQUENCY
;Breda;;GLZ;2.0;;6350.0;Gilze-Rijen(AB);[{'id': '10/28', 'dimension': '9080x148', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': 'Threshold of Runway 10 displaced 427 ft (130 m)', 'lighted': True}, 'alignment': None, 'number': ['10', '28'], 'length': 9080, 'width': '148', 'TORA': None, 'TODA': None, 'ASDA': '9080', 'LDA': None, '10': {'latlon': [51.571111111111115, 4.922777777777778], 'elevation': '41', 'heading': '099', 'displaced threshold': '687 Feet'}, '28': {'latlon': [51.57555555555555, 4.95], 'elevation': '35', 'heading': '279', 'displaced threshold': ''}, 'dimension2': ['9080 x 148 feet', '2768 x 45 meters'], 'slope': 0, 'properties': None}, {'id': '02/20', 'dimension': '6548x98', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': 'Threshold of Runway 02 displaced 191 ft (58 m)', 'lighted': True}, 'alignment': None, 'number': ['02', '20'], 'length': 6548, 'width': '98', 'TORA': None, 'TODA': None, 'ASDA': '6548', 'LDA': None, '02': {'latlon': [51.56083333333333, 4.934166666666667], 'elevation': '48', 'heading': '017', 'displaced threshold': '663 Feet'}, '20': {'latlon': [51.57527777777778, 4.947500000000001], 'elevation': '36', 'heading': '197', 'displaced threshold': ''}, 'dimension2': ['6548 x 98 feet', '1996 x 30 meters'], 'slope': 0, 'properties': None}];Gilze-Rijen(Ab);51.5664;;Netherlands;EHGR;3.0;0.0;L;4.9389;ARP;Intl;NB;Europe/Amsterdam;military;North Brabant;0.0;739.0;Breda (EHGR);NL;;;49.0;True;True;True;;;['121.680'];['125.330'];['123.580'];;;AMSTERDAM INFORMATION;['124.300', '128.500'];DUTCH MILL INFO;['132.350'];https://aviationweather.gov/api/data/airport?ids=EHGR&format=json;https://en.wikipedia.org/wiki/Gilze-Rijen_Air_Base;http://www.defensie.nl/luchtmacht/luchtmachtbases/gilze-rijen/;;;;True;;;;['132.350'];['Dutch MIL Info']
;Hoogeveen;;;;;;;[{'id': '9/27', 'dimension': '', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': None}, 'alignment': None, 'number': ['9', '27'], 'length': 3543, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '3543', 'LDA': None, '9': {'latlon': [52.7308006287, 6.5161099434], 'elevation': 40.0, 'heading': '9', 'displaced threshold': None}, '27': {'latlon': [52.7308006287, 6.5161099434], 'elevation': 40.0, 'heading': '27', 'displaced threshold': None}, 'slope': 0, 'properties': None}, {'id': '09/27', 'dimension': '3904x79', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['09', '27'], 'length': 3904, 'width': 79, 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [None, None], 'elevation': None, 'heading': '', 'displaced threshold': None}, 'dimension2': ['3904 x 79 feet', '1190 x 24 meters'], 'slope': None, 'properties': None}];Hoogeveen Airport;52.7308006287;;Netherlands;EHHO;;;;6.5161099434;;;;Europe/Amsterdam;public;Drenthe;;;Hoogeveen (EHHO);NL;;;40.0;False;False;False;['127.355'];;;;;;;AMSTERDAM INFORMATION;['124.300', '128.500'];DUTCH MILL INFO;['132.350'];;https://en.wikipedia.org/wiki/Hoogeveen_Airport;http://www.vliegveldhoogeveen.nl/;https://geohack.toolforge.org/geohack.php?pagename=Hoogeveen_Airport&params=52_43_51_N_006_30_58_E_type:airport_region:NL;https://upload.wikimedia.org/wikipedia/commons/b/b8/EHHVoverview.jpg;;False;;;;['132.350'];['Dutch MIL Info']
;Hilversum;;;;;;;[{'id': '07/25', 'dimension': '1969x164', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['07', '25'], 'length': 1969, 'width': 164, 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [None, None], 'elevation': None, 'heading': '', 'displaced threshold': None}, 'dimension2': ['1969 x 164 feet', '600 x 50 meters'], 'slope': None, 'properties': None}, {'id': '12/30', 'dimension': '2165x164', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['12', '30'], 'length': 2165, 'width': 164, 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [None, None], 'elevation': None, 'heading': '', 'displaced threshold': None}, 'dimension2': ['2165 x 164 feet', '660 x 50 meters'], 'slope': None, 'properties': None}, {'id': '18/36', 'dimension': '2297x164', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['18', '36'], 'length': 2297, 'width': 164, 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [None, None], 'elevation': None, 'heading': '', 'displaced threshold': None}, 'dimension2': ['2297 x 164 feet', '700 x 50 meters'], 'slope': None, 'properties': None}];Hilversum Airport;52.1918983459;;Netherlands;EHHV;;;;5.1469402313;;;;Europe/Amsterdam;public;North Holland;;;Hilversum (EHHV);NL;;;3.0;False;False;False;['131.030'];;;;;;;AMSTERDAM INFORMATION;['124.300', '128.500'];DUTCH MILL INFO;['132.350'];;https://en.wikipedia.org/wiki/Hilversum_Airport;http://www.ehhv.nl/;;;;False;;;;['124.300', '132.350'];['Amsterdam Information', 'Dutch MIL Info']
;Den Helder;;DHR;1.0;;6235.0;Den Helder Arpt;[{'id': '03/21', 'dimension': '4183x98', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': 'Threshold of Runway 03 displaced 804 ft (245 m)', 'lighted': True}, 'alignment': '032', 'number': ['03', '21'], 'length': 4183, 'width': '98', 'TORA': None, 'TODA': None, 'ASDA': '4183', 'LDA': None, '03': {'latlon': [52.92194444444444, 4.783055555555555], 'elevation': '3', 'heading': '032', 'displaced threshold': '456 Feet'}, '21': {'latlon': [52.93277777777777, 4.784166666666667], 'elevation': '2', 'heading': '212', 'displaced threshold': '807 Feet'}, 'dimension2': ['4183 x 98 feet', '1275 x 30 meters'], 'slope': 0, 'properties': None}];Den Helder Airport;52.9229;;Netherlands;EHKD;4.0;0.0;M;4.7802;ARP;Intl;NH;Europe/Amsterdam;military;North Holland;0.0;740.0;Den Helder (EHKD);NL;;military/ public;3.0;True;True;True;;['133.010'];['121.730'];['120.130'];['124.230'];;;AMSTERDAM INFORMATION;['124.300', '128.500'];DUTCH MILL INFO;['132.350'];https://aviationweather.gov/api/data/airport?ids=EHKD&format=json;https://en.wikipedia.org/wiki/De_Kooy_Airfield;https://web.archive.org/web/20071014023234/http://denhelderairport.nl/index.php?lan=en;https://geohack.toolforge.org/geohack.php?pagename=De_Kooy_Airfield&params=52_55_25_N_004_46_50_E_region:NL_type:airport;https://upload.wikimedia.org/wikipedia/commons/e/e1/Vliegveld_De_Kooy-Helikopters.jpg;;True;;;;['132.350'];['Dutch MIL Info']
;Lelystad;;LEY;1.0;;6269.0;Lelystad Arpt;[{'id': '05/23', 'dimension': '8858x148', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': '', 'lighted': True}, 'alignment': '046', 'number': ['05', '23'], 'length': 8858, 'width': '148', 'TORA': None, 'TODA': None, 'ASDA': '8858', 'LDA': None, '05': {'latlon': [52.455555555555556, 5.504722222222222], 'elevation': '-13', 'heading': '046', 'displaced threshold': '984 Feet'}, '23': {'latlon': [52.46555555555556, 5.531666666666666], 'elevation': '-12', 'heading': '226', 'displaced threshold': '984 Feet'}, 'dimension2': ['8858 x 148 feet', '2700 x 45 meters'], 'slope': 0, 'properties': None}, {'id': '05L/23R', 'dimension': '4495x98', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['05L', '23R'], 'length': 4495, 'width': 98, 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [None, None], 'elevation': None, 'heading': '', 'displaced threshold': None}, 'dimension2': ['4495 x 98 feet', '1370 x 30 meters'], 'slope': None, 'properties': None}];Lelystad Airport;52.453;;Netherlands;EHLE;4.0;0.0;L;5.5145;ARP;Intl;FL;Europe/Amsterdam;public;Flevoland;0.0;741.0;Lelystad (EHLE);NL;;;-13.0;True;True;True;;['120.730'];['123.680'];['135.180'];['124.530', '134.530'];;;;['124.300', '264.325'];;;https://aviationweather.gov/api/data/airport?ids=EHLE&format=json;https://en.wikipedia.org/wiki/Lelystad_Airport;https://www.lelystadairport.nl/;;;;True;;;;['132.350'];['Dutch MIL Info']
;Leeuwarden;;LWR;2.0;;6270.0;Leeuwarden Arpt(AB);[{'id': '05/23', 'dimension': '8045x164', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': 'Threshold of Runway 05 displaced 847 ft (258 m)', 'lighted': True}, 'alignment': '054', 'number': ['05', '23'], 'length': 8045, 'width': '164', 'TORA': None, 'TODA': None, 'ASDA': '8045', 'LDA': None, '05': {'latlon': [53.22083333333334, 5.740833333333334], 'elevation': '4', 'heading': '054', 'displaced threshold': '9 Feet'}, '23': {'latlon': [53.24111111111111, 5.767777777777778], 'elevation': '4', 'heading': '234', 'displaced threshold': '182 Feet'}, 'dimension2': ['8045 x 164 feet', '2452 x 50 meters'], 'slope': 0, 'properties': None}, {'id': '09/27', 'dimension': '6561x164', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': 'Threshold of Runway 09 displaced 195 ft (59 m)', 'lighted': True}, 'alignment': '089', 'number': ['09', '27'], 'length': 6561, 'width': '164', 'TORA': None, 'TODA': None, 'ASDA': '6561', 'LDA': None, '09': {'latlon': [53.23638888888889, 5.745555555555556], 'elevation': '3', 'heading': '089', 'displaced threshold': '193 Feet'}, '27': {'latlon': [53.23638888888889, 5.7716666666666665], 'elevation': '3', 'heading': '269', 'displaced threshold': ''}, 'dimension2': ['6561 x 164 feet', '2000 x 50 meters'], 'slope': 0, 'properties': None}];Leeuwarden Airport(Ab);53.226;;Netherlands;EHLW;4.0;0.0;M;5.7556;ARP;Intl;FR;Europe/Amsterdam;military;Friesland;0.0;742.0;Leeuwarden (EHLW);NL;;;3.0;True;True;True;;;;['120.705'];['132.030'];;;AMSTERDAM INFORMATION;['124.300', '128.500'];DUTCH MILL INFO;['132.350'];https://aviationweather.gov/api/data/airport?ids=EHLW&format=json;https://en.wikipedia.org/wiki/Leeuwarden_Air_Base;http://www.defensie.nl/luchtmacht/luchtmachtbases/leeuwarden/;;;;True;;;;[];[]
;Midden Zeeland;;;;;;;[{'id': '09/27', 'dimension': '3281x99', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['09', '27'], 'length': 3281, 'width': 99, 'TORA': None, 'TODA': None, 'ASDA': '3281', 'LDA': None, '09': {'latlon': [51.5121994019, 3.731110096], 'elevation': 6.0, 'heading': '09', 'displaced threshold': None}, '27': {'latlon': [51.5121994019, 3.731110096], 'elevation': 6.0, 'heading': '27', 'displaced threshold': None}, 'slope': 0, 'properties': None, 'dimension2': ['3281 x 99 feet', '1000 x 30 meters']}];Midden-Zeeland Airport;51.5121994019;;Netherlands;EHMZ;;;;3.731110096;;;;Europe/Amsterdam;public;Zeeland;;;Midden Zeeland (EHMZ);NL;;;6.0;False;False;False;['119.255'];;;;;;;AMSTERDAM INFORMATION;['124.300', '128.500'];DUTCH MILL INFO;['132.350'];;https://en.wikipedia.org/wiki/Midden-Zeeland_Airport;http://www.vliegveldzeeland.nl/;https://geohack.toolforge.org/geohack.php?pagename=Midden-Zeeland_Airport&params=51_30_44_N_003_43_52_E_type:airport_region:NL;https://upload.wikimedia.org/wikipedia/commons/c/c6/Vliegveld_Midden-Zeeland.jpg;;False;;;;['124.300', '132.350'];['Amsterdam Information', 'Dutch MIL Info']
;Oostwold;;;;;;;[{'id': '07/25', 'dimension': '', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': None}, 'alignment': None, 'number': ['07', '25'], 'length': 2887, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '2887', 'LDA': None, '07': {'latlon': [53.2097583333, 7.0365194444], 'elevation': 3.0, 'heading': '07', 'displaced threshold': None}, '25': {'latlon': [53.2097583333, 7.0365194444], 'elevation': 3.0, 'heading': '25', 'displaced threshold': None}, 'slope': 0, 'properties': 'Grass partial concrete'}, {'id': '06/24', 'dimension': '2625x66', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['06', '24'], 'length': 2625, 'width': 66, 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [None, None], 'elevation': None, 'heading': '', 'displaced threshold': None}, 'dimension2': ['2625 x 66 feet', '800 x 20 meters'], 'slope': None, 'properties': None}];Oostwold Airport;53.2097583333;;Netherlands;EHOW;;;;7.0365194444;;;;Europe/Amsterdam;private;Groningen;;;Oostwold (EHOW);NL;;;3.0;False;False;False;;;;['118.705'];['120.305'];;;AMSTERDAM INFORMATION;['124.300', '128.500'];DUTCH MILL INFO;['132.350'];;https://en.wikipedia.org/wiki/Oostwold_Airfield;http://www.oostwold-airport.nl/;https://geohack.toolforge.org/geohack.php?pagename=Oostwold_Airfield&params=53_12_29_N_007_01_54_E_region:NL_type:airport_scale:10000;https://upload.wikimedia.org/wikipedia/commons/2/2d/Oostwold_Airport.jpg;;False;;;;[];[]
;Rotterdam;;RTM;2.0;;6344.0;Rotterdam/The Hague Arpt;[{'id': '06/24', 'dimension': '7218x148', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': 'Threshold of Runway 06 displaced 656 ft (200 m)', 'lighted': True}, 'alignment': None, 'number': ['06', '24'], 'length': 7218, 'width': '148', 'TORA': None, 'TODA': None, 'ASDA': '7218', 'LDA': None, '06': {'latlon': [51.955000000000005, 4.44], 'elevation': '-14', 'heading': '056', 'displaced threshold': '640 Feet'}, '24': {'latlon': [51.969722222222224, 4.454444444444444], 'elevation': '-15', 'heading': '236', 'displaced threshold': '646 Feet'}, 'dimension2': ['7218 x 148 feet', '2200 x 45 meters'], 'slope': 0, 'properties': None}];Rotterdam/The Hague Airport;51.9565;;Netherlands;EHRD;4.0;0.0;M;4.4411;ARP;Intl;ZH;Europe/Amsterdam;public;South Holland;0.0;743.0;Rotterdam (EHRD);NL;;;-15.0;True;True;True;;['128.565'];['122.180'];['118.205'];['122.990'];['123.100', '282.800'];010-4460821;AMSTERDAM INFORMATION;['124.300', '128.500'];DUTCH MILL INFO;['132.350'];https://aviationweather.gov/api/data/airport?ids=EHRD&format=json;https://en.wikipedia.org/wiki/Rotterdam_The_Hague_Airport;http://www.rotterdamthehagueairport.nl/en;https://geohack.toolforge.org/geohack.php?pagename=Rotterdam_The_Hague_Airport&params=51_57_25_N_04_26_25_E_type:airport_region:NL;https://upload.wikimedia.org/wikipedia/commons/1/19/2010-05-16-rotterdam-by-RalfR-02.jpg;;True;;;;['124.300'];['Amsterdam Information']
;Seppe;;;;;;;[{'id': '06/24', 'dimension': '2723x75', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['06', '24'], 'length': 2723, 'width': 75, 'TORA': None, 'TODA': None, 'ASDA': '2723', 'LDA': None, '06': {'latlon': [51.55638888888888, 4.559444444444444], 'elevation': '30', 'heading': '065', 'displaced threshold': '256 Feet'}, '24': {'latlon': [51.56027777777778, 4.563055555555556], 'elevation': '30', 'heading': '245', 'displaced threshold': '249 Feet'}, 'dimension2': ['2723 x 75 feet', '830 x 23 meters'], 'slope': 0, 'properties': None}];Seppe Airport;51.5546989441;;Netherlands;EHSE;;;;4.5524997711;;;;Europe/Amsterdam;public;North Brabant;;;Seppe (EHSE);NL;;;30.0;False;False;False;['120.655'];;;;;;;AMSTERDAM INFORMATION;['124.300', '128.500'];DUTCH MILL INFO;['132.350'];;https://en.wikipedia.org/wiki/Seppe_Hoeven_Airfield;https://www.breda-airport.eu/;https://geohack.toolforge.org/geohack.php?pagename=Seppe_Hoeven_Airfield&params=51_33_17_N_004_33_09_E_region:NL_type:airport;https://upload.wikimedia.org/wikipedia/commons/b/bd/Seppe.jpg;;False;;;;['132.350'];['Dutch MIL Info']
;Stadskanaal;;;;;;;[{'id': '06/24', 'dimension': '1639x99', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['06', '24'], 'length': 984, 'width': 99, 'TORA': None, 'TODA': None, 'ASDA': '984', 'LDA': None, '06': {'latlon': [52.9986000061, 7.0227799416], 'elevation': 14.0, 'heading': '06', 'displaced threshold': None}, '24': {'latlon': [52.9986000061, 7.0227799416], 'elevation': 14.0, 'heading': '24', 'displaced threshold': None}, 'slope': 0, 'properties': None, 'dimension2': ['1639 x 99 feet', '500 x 30 meters']}];Stadskanaal Airport;52.9986000061;;Netherlands;EHST;;;;7.0227799416;;;;Europe/Amsterdam;public;Groningen;;;Stadskanaal (EHST);NL;;;14.0;False;False;False;;;;;;;;AMSTERDAM INFORMATION;['124.300', '128.500'];DUTCH MILL INFO;['132.350'];;https://en.wikipedia.org/wiki/Stadskanaal_Airfield;[];https://geohack.toolforge.org/geohack.php?pagename=Stadskanaal_Airfield&params=52_59_55_N_007_01_22_E_type:airport_region:NL;;;False;;;;['120.305'];['Eelde Approach']
;Deventer;;;;;;;[{'id': '08/26', 'dimension': '3934x88', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': 'Threshold of Runway 08 displaced 26 ft (8 m)', 'lighted': True}, 'alignment': None, 'number': ['08', '26'], 'length': 3934, 'width': 88, 'TORA': None, 'TODA': None, 'ASDA': '3934', 'LDA': None, '08': {'latlon': [52.24861111111111, 6.0472222222222225], 'elevation': '16', 'heading': '084', 'displaced threshold': None}, '26': {'latlon': [52.249722222222225, 6.0649999999999995], 'elevation': '15', 'heading': '264', 'displaced threshold': None}, 'dimension2': ['3934 x 89 feet', '1199 x 27 meters'], 'slope': 0, 'properties': 'Concrete/Asphalt'}, {'id': '03/21', 'dimension': '2297x98', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['03', '21'], 'length': 2297, 'width': 98, 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [None, None], 'elevation': None, 'heading': '', 'displaced threshold': None}, 'dimension2': ['2297 x 98 feet', '700 x 30 meters'], 'slope': None, 'properties': None}];Teuge Airport;52.2447013855;;Netherlands;EHTE;;;;6.04666996;;;;Europe/Amsterdam;public;Gelderland;;;Deventer (EHTE);NL;;;17.0;False;False;False;['121.005'];;;;;;;AMSTERDAM INFORMATION;['124.300', '128.500'];DUTCH MILL INFO;['132.350'];;https://en.wikipedia.org/wiki/Teuge_Airfield;http://www.teuge-airport.nl/;https://geohack.toolforge.org/geohack.php?pagename=Teuge_Airfield&params=52_14_41_N_006_02_48_E_region:NL_type:airport;;;False;;;;['132.350'];['Dutch MIL Info']
;Terlet;;;;;;;[{'id': '12/30', 'dimension': '3600x560', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['12', '30'], 'length': 3600, 'width': 560, 'TORA': None, 'TODA': None, 'ASDA': '-', 'LDA': None, '12': {'latlon': [52.0572013855, 5.9244399071], 'elevation': 276.0, 'heading': '12', 'displaced threshold': None}, '30': {'latlon': [52.0572013855, 5.9244399071], 'elevation': 276.0, 'heading': '30', 'displaced threshold': None}, 'slope': None, 'properties': None, 'dimension2': ['3600 x 560 feet', '1097 x 171 meters']}, {'id': '04C/22C', 'dimension': '4101x699', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['04C', '22C'], 'length': 4101, 'width': 699, 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [None, None], 'elevation': None, 'heading': '', 'displaced threshold': None}, 'dimension2': ['4101 x 699 feet', '1250 x 213 meters'], 'slope': None, 'properties': None}, {'id': '04L/22R', 'dimension': '4000x500', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['04L', '22R'], 'length': 4000, 'width': 500, 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [None, None], 'elevation': None, 'heading': '', 'displaced threshold': None}, 'dimension2': ['4000 x 500 feet', '1219 x 152 meters'], 'slope': None, 'properties': None}, {'id': '04R/22L', 'dimension': '4100x700', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['04R', '22L'], 'length': 4100, 'width': 700, 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [None, None], 'elevation': None, 'heading': '', 'displaced threshold': None}, 'dimension2': ['4100 x 700 feet', '1250 x 213 meters'], 'slope': None, 'properties': None}, {'id': '14L/32R', 'dimension': '4500x910', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['14L', '32R'], 'length': 4500, 'width': 910, 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [None, None], 'elevation': None, 'heading': '', 'displaced threshold': None}, 'dimension2': ['4500 x 910 feet', '1372 x 277 meters'], 'slope': None, 'properties': None}, {'id': '14R/32L', 'dimension': '4500x910', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['14R', '32L'], 'length': 4500, 'width': 910, 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [None, None], 'elevation': None, 'heading': '', 'displaced threshold': None}, 'dimension2': ['4500 x 910 feet', '1372 x 277 meters'], 'slope': None, 'properties': None}];Terlet Airport;52.0572013855;;Netherlands;EHTL;;;;5.9244399071;;;;Europe/Amsterdam;public;Gelderland;;;Terlet (EHTL);NL;;;276.0;False;False;False;['123.380'];;;['129.930'];;;;AMSTERDAM INFORMATION;['124.300', '128.500'];DUTCH MILL INFO;['132.350'];;https://en.wikipedia.org/wiki/Terlet_Airfield;http://www.terlet.nl;https://geohack.toolforge.org/geohack.php?pagename=Terlet_Airfield&params=52_03_26_N_005_55_28_E_type:airport_region:NL;;;False;;;;['132.350'];['Dutch MIL Info']
;Enschede;;ENS;;;6290.0;Twente(AB);[{'id': '05/23', 'dimension': '9801x148', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': 'Threshold of Runway 05 displaced 935 ft (285 m)', 'lighted': True}, 'alignment': None, 'number': ['05', '23'], 'length': 7894, 'width': 148, 'TORA': None, 'TODA': None, 'ASDA': '7894', 'LDA': None, '05': {'latlon': [52.27166666666667, 6.880000000000001], 'elevation': '99', 'heading': '053', 'displaced threshold': None}, '23': {'latlon': [52.29222222222222, 6.905833333333334], 'elevation': '114', 'heading': '233', 'displaced threshold': None}, 'dimension2': ['7894 x 148 feet', '2406 x 45 meters'], 'slope': 0, 'properties': None}, {'id': '11/29', 'dimension': '6558x82', 'surface': {'type': 'hard', 'surface': 'asphalt', 'condition': 'Threshold of Runway 11 displaced 792 ft (241 m)', 'lighted': False}, 'alignment': None, 'number': ['11', '29'], 'length': 6558, 'width': 82, 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [None, None], 'elevation': None, 'heading': '', 'displaced threshold': None}, 'dimension2': ['6558 x 82 feet', '1999 x 25 meters'], 'slope': None, 'properties': None}];Twenthe Airport;52.2700004578;;Netherlands;EHTW;3.0;;;6.8741698265;;;OV;Europe/Amsterdam;public;Overijssel;;;Enschede (EHTW);NL;;;114.0;False;False;False;['132.355'];;;;;;;AMSTERDAM INFORMATION;['124.300', '128.500'];DUTCH MILL INFO;['132.350'];;https://en.wikipedia.org/wiki/Enschede_Airport_Twente;https://www.twente-airport.nl/;https://geohack.toolforge.org/geohack.php?pagename=Enschede_Airport_Twente&params=52_16_33_N_006_53_21_E_region:NL_type:airport;https://upload.wikimedia.org/wikipedia/commons/7/75/2018_KLM_Boeings_Vliegveld_Twente.jpg;;False;;;;[];[]
;Texel;;;;;;;[{'id': '04/22', 'dimension': '', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': None}, 'alignment': None, 'number': ['04', '22'], 'length': 3685, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '3685', 'LDA': None, '04': {'latlon': [53.1152992249, 4.8336100578], 'elevation': 2.0, 'heading': '04', 'displaced threshold': None}, '22': {'latlon': [53.1152992249, 4.8336100578], 'elevation': 2.0, 'heading': '22', 'displaced threshold': None}, 'slope': 0, 'properties': None}, {'id': '13/31', 'dimension': '', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': None}, 'alignment': None, 'number': ['13', '31'], 'length': 2066, 'width': '', 'TORA': None, 'TODA': None, 'ASDA': '2066', 'LDA': None, '13': {'latlon': [53.1152992249, 4.8336100578], 'elevation': 2.0, 'heading': '13', 'displaced threshold': None}, '31': {'latlon': [53.1152992249, 4.8336100578], 'elevation': 2.0, 'heading': '31', 'displaced threshold': None}, 'slope': 0, 'properties': None}, {'id': '03/21', 'dimension': '3637x131', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['03', '21'], 'length': 3637, 'width': 131, 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [None, None], 'elevation': None, 'heading': '', 'displaced threshold': None}, 'dimension2': ['3637 x 131 feet', '1109 x 40 meters'], 'slope': None, 'properties': None}, {'id': '12/30', 'dimension': '2041x131', 'surface': {'type': 'soft', 'surface': 'grass', 'condition': '', 'lighted': False}, 'alignment': None, 'number': ['12', '30'], 'length': 2041, 'width': 131, 'TORA': None, 'TODA': None, 'ASDA': '', 'LDA': None, '': {'latlon': [None, None], 'elevation': None, 'heading': '', 'displaced threshold': None}, 'dimension2': ['2041 x 131 feet', '622 x 40 meters'], 'slope': None, 'properties': None}];Texel Airport;53.1152992249;;Netherlands;EHTX;;;;4.8336100578;;;;Europe/Amsterdam;public;North Holland;;;Texel (EHTX);NL;;;2.0;False;False;False;['119.305'];;['119.305'];['119.305'];;;;AMSTERDAM INFORMATION;['124.300', '128.500'];DUTCH MILL INFO;['132.350'];;https://en.wikipedia.org/wiki/Texel_International_Airport;http://www.texelairport.nl/;https://geohack.toolforge.org/geohack.php?pagename=Texel_International_Airport&params=53_06_55_N_004_50_01_E_type:airport_region:NL;https://upload.wikimedia.org/wikipedia/commons/4/41/Texel_Airport.jpg;;False;;;;['132.350'];['Dutch MIL Info']
